league,season,team,player,nation,pos,age,born,matches,starts,minutes,90s,goals,assists,g_a,g_pk,pk,pkatt,yellow_cards,red_cards,goals_90,assists_90,g_a_90,g_pk_90,g_a_pk_90,player_short,player_name,total_injuries,injury_types,injured
ENG-Premier League,2223,Brighton,Evan Ferguson,IRL,FW,17,2004,19,10,950,10.6,6,2,8,6,0,0,1,0,0.57,0.19,0.76,0.57,0.76,E. Ferguson,E. Ferguson,12.0,"Knee Injury, Ankle Injury",1
ENG-Premier League,2223,Brighton,Facundo Buonanotte,ARG,MF,17,2004,13,6,565,6.3,1,1,2,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,F. Buonanotte,,0.0,None,0
ENG-Premier League,2223,Brighton,Jack Hinshelwood,ENG,"DF,MF",17,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,J. Hinshelwood,J. Hinshelwood,14.0,Ankle Injury,1
ENG-Premier League,2223,Brighton,Jan Paul van Hecke,NED,DF,22,2000,8,3,295,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,J. Paul van Hecke,,0.0,None,0
ENG-Premier League,2223,Brighton,Jason Steele,ENG,GK,31,1990,15,15,1350,15.0,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,J. Steele,,0.0,None,0
ENG-Premier League,2223,Brighton,Jeremy Sarmiento,ECU,MF,20,2002,9,1,176,2.0,0,1,1,0,0,0,1,0,0.0,0.51,0.51,0.0,0.51,J. Sarmiento,J. Sarmiento,16.0,"Knee Injury, Ankle Injury",1
ENG-Premier League,2223,Brighton,Joël Veltman,NED,DF,30,1992,31,25,2188,24.3,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,J. Veltman,J. Veltman,13.0,"Muscle Injury, Knee Injury, Knock",1
ENG-Premier League,2223,Brighton,Julio Enciso,PAR,"MF,FW",18,2004,20,7,806,9.0,4,2,6,4,0,0,1,0,0.45,0.22,0.67,0.45,0.67,J. Enciso,J. Enciso,24.0,"Knee Injury, Knock",1
ENG-Premier League,2223,Brighton,Kaoru Mitoma,JPN,MF,25,1997,33,24,2318,25.8,7,5,12,7,0,0,0,0,0.27,0.19,0.47,0.27,0.47,K. Mitoma,K. Mitoma,21.0,"Ankle Injury, Injury, National selection, International duty, Back Injury",1
ENG-Premier League,2223,Brighton,Leandro Trossard,BEL,"MF,FW",27,1994,16,16,1315,14.6,7,2,9,7,0,0,1,0,0.48,0.14,0.62,0.48,0.62,L. Trossard,L. Trossard,2.0,"Coach's decision, Muscle Injury",1
ENG-Premier League,2223,Brighton,Levi Colwill,ENG,DF,19,2003,17,13,1220,13.6,0,2,2,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,L. Colwill,L. Colwill,14.0,"Muscle Injury, Loan agreement, Injury, Ankle Injury",1
ENG-Premier League,2223,Brighton,Lewis Dunk,ENG,DF,30,1991,36,36,3239,36.0,1,0,1,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,L. Dunk,L. Dunk,5.0,"Groin Injury, Red Card, Yellow Cards, Knee Injury",1
ENG-Premier League,2223,Brighton,Moisés Caicedo,ECU,MF,20,2001,37,34,3139,34.9,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,M. Caicedo,M. Caicedo,4.0,"Suspended, Thigh Injury, Inactive, Illness",1
ENG-Premier League,2223,Brighton,Odeluga Offiah,ENG,DF,19,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,O. Offiah,,0.0,None,0
